OBJECTID,Borough,Unique_Asset_ID,Unique_Asset_ID_X,Unique_Asset_ID_Y,Holding_Name,Address,Post_Code,Sub_Unit,UPRN,Description,Occupied,Land_Building,Asset_Category,Tenure,Site_Area_Hectares,Building_Area_GIA_sqm,Site_Area_Hectares_1,Easting,Northing
1,Bromley,02/001,1,2,Crystal Palace,"Crystal Palace Park, Ledrington Road, Crystal Palace",SE19 2BB,National Sports Centre,N/A,National Sports Centre and associated buildings,Yes,Land & buildings,Operational asset,LLH,15.52,38101,,534361,170764
2,Bromley,02/002,2,2,Crystal Palace,"Crystal Palace Park, Ledrington Road, Crystal Palace",SE19 2BB,Residential Houses,N/A,National Sports Centre and associated buildings,Yes,Land & buildings,Operational asset,LLH,0.85,667,,534225,170850
3,Bromley,02/003,3,2,Crystal Palace,"Crystal Palace Park, Ledrington Road, Crystal Palace",SE19 2BB,Capel Manor Farm,N/A,National Sports Centre and associated buildings,Yes,Land & buildings,Operational asset,LLH,0.24,0,,534339,170472
4,Bromley,02/004,4,2,Crystal Palace,"Crystal Palace Park, Ledrington Road, Crystal Palace",SE19 2BB,The Lodge,N/A,National Sports Centre and associated buildings,Yes,Land & buildings,Operational asset,LLH,1.53,3219,,534345,170981
5,Havering,0,,,Beam Reach 8 Land Sliver,"Coldharbour Lane, Rainham, Essex",RM13 9YQ,,N/A,Sliver of land,No,Land only,Saleable asset,FH,0.13,0,,551802,180486
6,Haringey,04/005,5,4,Quicksilver Place,"Western Road, Wood Green, London",N22 6UH,,N/A,Industrial investment,No,Land & buildings,Saleable asset,FH,0.36,0,,530553,190172
7,Tower Hamlets,04/010,10,4,18-26 Walden Street,"18-26 Walden Street, Whitechapel, London",E1 2AN,,N/A,Residual interest in residential development,No,Land & buildings,Saleable asset,FH,0.04,0,,534627,181456
8,Hackney,04/011,11,4,"Hoxton Workspaces, Hoxton","Hoxton Workspaces,128 Hoxton Street, London",N1 6SH,,N/A,Commercial investment,No,Land & buildings,Saleable asset,FH,0.05,0,,533294,183171
9,Wandsworth,04/012,12,4,Trident Business Centre,"89 Bickersteth Road, Tooting, London",SW17 9SH,,N/A,Reversionary interest in charitable/cultural facility,No,Land & buildings,Saleable asset,FH,0.4,5713,,527755,171047
10,Newham,04/017,17,4,Greengate House,"Greengate Street, Plaistow",E13 0AS,,N/A,Reversionary interest in charitable/cultural facility,No,Land & buildings,Saleable asset,FH,0.36,0,,540797,182910
11,Tower Hamlets,04/018,18,4,Rich Mix Centre,"35-37 Bethnal Green Road, London",E1 6LA,,N/A,Reversionary interest in charitable/cultural facility,No,Land & buildings,Saleable asset,FH,0.03,0,,533739,182347
12,Lambeth,04/019,19,4,20 Newburn Street,"20 Newburn Street, Vauxhall, London",SE11 5PJ,,N/A,Commercial investment,No,Land & buildings,Saleable asset,LLH,0.02,0,,530970,178428
13,Hackney,04/037,37,4,Wallis Road Triangle,"Wallis Road, Hackney, London",E9 5EH,,N/A,Residual interest in travellers site. To be transferred to LB Hackney.,No,Land & buildings,Saleable asset,FH,0.48,0,,536928,184538
14,Hackney,04/041,41,4,"East Marsh, Hackney","Homerton Road, Hackney, London",E9 5PF,,N/A,Short term lease,No,Land only,Saleable asset,LH,0.33,0,,537461,185745
15,Haringey,04/043,43,4,Tottenham 639 High Road,"639 Tottenham, Tottenham High Road, Haringey, London",N17 8AA,,N/A,Community facility,Yes,Land & buildings,Saleable asset,FH,0.15,2824,,533869,190696
16,Waltham Forest,04/045,45,4,The Click Centre,321 Leytonstone High Rd,E11 4JT,,N/A,Commercial investment,No,Land & buildings,Saleable asset,FH,0.06,0,434,539102,185929
17,Waltham Forest,04/046,46,4,Former Webbs Industrial Estate,"108 Blackhorse Lane, London",E17 6AA,,N/A,Major development site,Yes,Land & buildings,Subject to disposal process,FH,1.67,0,,535963,189777
18,Tower Hamlets,05/001,1,5,439 Wick Lane,"439 Wick Lane, Leyton, London",E3 2TB,,N/A,Residential investment,No,Land & buildings,Saleable asset,FH,0.01,103,,537314,183625
19,Newham,08/002,2,8,Landmark Site,"Tidal Basin Road, London",E16 1GB,,N/A,Commercial investment,No,Land & buildings,Investment ,FH,1.52,0,,540051,180606
20,Newham,08/003,3,8,Excel Centre Complex,"One Western Gateway, Royal Victoria Dock, London",E16 1XL,,N/A,Commercial investment,No,Land & buildings,Investment ,FH,35.75,0,,540892,180781
21,Newham,08/004,4,8,Britannia Village,"North Woolwich Road, West Silvertown, London",E16 1SR,,N/A,Reversonary interests in major residential development. Excludes the freehold of 34 Hanover Avenue.,No,Land & buildings,Saleable asset,FH,11.78,0,,540486,180371
22,Newham,08/015,15,8,Land Southside of  King George V Dock,"[Western Site] Hartmann Road, London [Eastern Site] Albert Way, London",E16 2LR,,N/A,Reversionary interest in commercial development site,No,Land only,Saleable asset,FH,10.85,0,,543403,180156
23,Newham,08/021,21,8,Gallions 1  (including Gallions Hotel),"Armada Way, Royal Docks, London",E16 2QW,,N/A,Reversionary interest in residential scheme,No,Land & buildings,Saleable asset,FH,2.57,0,,543966,180685
24,Newham,08/023,23,8,Gallions 3,"Armada Way, Royal Docks, London",E16 2BF,,N/A,Reversionary interest in industrial premises.,No,Land & buildings,Saleable asset,FH,2.86,0,,544179,180801
25,Newham,08/025,25,8,Armada 1,"Atlantis Avenue, London",E16 2BF,,N/A,Reversonary interest in industrial premises,No,Land & buildings,Saleable asset,FH,2.4,0,,543969,181003
26,Newham,08/028,28,8,Great Eastern Quay,"Gallions Road, Royal Albert Docks, London",E16 1AX,,N/A,"Reversionary interest in former industrial premises, currently being redeveloped for housing",No,Land & buildings,Saleable asset,FH,5.53,0,,544209,180637
27,Newham,08/029,29,8,Royal Albert Basin Infrastructure,,E16 2NJ,,N/A,Roads,No,Land only,Limited marketability,FH,0.01,0,,543828,180377
28,Newham,08/033,33,8,Waterside Business Centre,"1 Dock Road, London",E16 1AG,,N/A,7.25% interest in commercial investment,No,Land & buildings,Saleable asset,FH,0.24,0,,539997,180485
29,Newham,08/040,40,8,Gallions 3A,"Atlantis Avenue/Magellan Avenue, London",E16 2BF,,N/A,Reversionary interest in residential scheme,No,Land only,Saleable asset,FH,0.32,0,,544303,180799
30,Newham,08/041,41,8,Gallions Infrastructure,"Magellan Avenue, London",E16 2BF,,N/A,Roads,No,Land only,Limited marketability,FH,0.28,0,,544327,180800
31,Newham,08/042,42,8,Armada 1b,"Atlantis Avenue, London",E16 2BF,,N/A,Small area of land locked land linked to Armada 1a,No,Land only,Subject to disposal process,FH,0.12,0,,543892,181090
32,Newham,08/043,43,8,Gate 96 Silvertown Way Flyover,"Silvertown Way, Canning Town, London",E16 1DA,,N/A,Space under flyover,No,Land & buildings,Limited marketability,FH,0.26,0,,539945,180609
33,Barking and Dagenham,09/009/0006,,,Dagenham Dock,"off Choats Road, Dagenham Dock, Dagenham, Essex",RM9 6LF,Plot Z,N/A,Ex-LDA land (outside of the LSIP estate) serving as a 'peudo-swale' and required for a surface water pumping station.,No,Land only,Limited marketability,FH,0,0,,548586,182701
34,Newham,10/00000126,,,(Q580) Dock Road,"Dock Road, Lond",E16 1FB,Front Land At Dock Road,N/A,Land adjacent to Thames Wharf. Major regeneration site impacted by proposed Silvertown Tunnel.,No,Land only,Saleable asset,FH,0.1,0,,539926,180468
35,Newham,10/00000278,,,(Q571) Dock Road,Dock Road. London,E16 1AF,Rear Land At Dock Road,N/A,Land adjacent to Thames Wharf. Major regeneration site impacted by proposed Silvertown Tunnel.,No,Land only,Saleable asset,FH,0.07,0,,539884,180442
36,Tower Hamlets,10/00000281,,,Orchard Wharf,"Leamouth Road, Poplar, London",E14 0JG,"Esso Service Station,",N/A,Reversionary interest in former service station. Subject to redevelopment.,No,Land & buildings,Saleable asset,FH,0.33,0,,538958,181078
37,Tower Hamlets,10/00000286,,,Greenwich View,"Greenwich View Place, London",E14 9NN,,N/A,Reversionary interest,No,Land & buildings,Saleable asset,FH,2.11,0,,537631,179216
38,Hackney,10/00000554,,,Bethnal Green,"118/120  Queens Bridge Road, Haggerton, London",E2 8PD,Adelaide Wharf 118/120 Queensbridge Road,N/A,Residual interest in residential development,No,Land & buildings,Saleable asset,FH,0.43,0,,533983,183598
39,Croydon,10/00000555,,,London Road,"187/195 London Road, Croydon",CR0 2RJ,"187/195 London Road, Croydon",N/A,Residual interest in residential development,No,Land & buildings,Saleable asset,FH,0.31,0,,531781,166536
40,Camden,10/00000558,,,Huntley,"Huntley Street, London",WC1E 6EL,1-9 Huntley Street,N/A,Residual interest in residential development,No,Land & buildings,Saleable asset,FH,0.2,0,,529600,181933
41,Islington,10/00000559,,,Holloway,"46 - 52 Holloway Road, London",N7 8JL,52 Holloway Road,N/A,Residual interest in residential development,No,Land & buildings,Saleable asset,FH,0.38,0,,531389,185009
42,Southwark,10/00000561,,,Former HMSO Print Works,"Amelia Street, London",SE17 3PZ,Amelia Street,N/A,Residual interest in residential development,No,Land & buildings,Saleable asset,FH,0.38,0,,532127,178536
43,Wandsworth,10/00000564,,,Off Mapleton Road,Off Mapleton Road,SW18 4GD,Wandsworth Southside,N/A,Residual interest in residential development,No,Land & buildings,Saleable asset,LLH,0.13,0,,525615,174227
44,Hounslow,10/00000577,,,Isleworth,"Twickenham Road, Isleworth,",TW7  6AW,West Middlesex University Hosp,N/A,Revisionary interest,No,Land & buildings,Saleable asset,FH,2.07,0,,516463,176554
45,Tower Hamlets,10/00003048,,,Castor Lane,"Castor Lane, London",E14 0BY,Castor Lane,N/A,Road,No,Land only,Limited marketability,FH,0.39,0,,537568,180665
46,Barking and Dagenham,10/00003138,,,Barking,"23-25 East Street, Barking, London",IG11 8ES,,N/A,Retail investment,No,Land & buildings,Saleable asset,FH,0.04,0,,544182,184071
47,Newham,10/00003229,,,Pylon Lands,"Pylon Lands, Beckton",E16 5RN,Pylon Lands,N/A,Open space. To be transferred to LB Newham.,No,Land only,Subject to disposal process,FH,1.26,0,,542482,181362
48,Newham,08/012,12,8,Connaught Tavern Site,"Victoria Dock Road, Silvertown, London",E16 1JR,,N/A,Reversionary interest in public house,No,Land & buildings,Saleable asset,FH,0.48,0,,541623,180837
49,Barking and Dagenham,03/022,22,3,16 Choats Road,"16 Choats Road, Dagenham Dock, Dagenham, Essex",RM9 6LF,,N/A,Reversionary interest Industrial unit occupied by Veolia UK Ltd.  Includes strip of previously safeguarded land fronting Choats Road,Yes,Land & buildings,Limited marketability,FH,1.35,0,,548245,182563
50,Newham,08/014/0001,,,Thames Barrier Park,"Barrier Point Road, London",E16 2HP,,N/A,Major public amenity site. Car park being developed for housing (see Pontoon Dock),Yes,Land & buildings,Operational asset,FH,6.94,148,,541267,179954
51,Lewisham,10/00000562,,,Adenmore Road Ex Catford Stadium,Adenmore Road,SE6 4RH,Catford Stadium,N/A,Residential development where the GLA is working with Barratt Homes,No,Land only,Subject to disposal process,FH,2.26,0,,537376,174065
52,Merton,10/00000563,,,Rowan Road,"Rown Road, London",SW16 5JF,Rowan High School,N/A,Residential development site. Development Agreement in place,No,Land & buildings,Subject to disposal process,FH,1.61,0,,529414,169074
