OBJECTID,Borough,Unique_Asset_ID,Holding_Name,Address,Post_Code,Sub_Unit,UPRN,Description,Occupied,Land_Building,Asset_Category,Tenure,Site_Area_Hectares,Building_Area_GIA_sqm,Building_Area_NIA_sqm,Easting,Northing
1,Ealing,FS01,ACTON,27 Gunnersbury Lane,W3 8EA,,,Fire Station,Yes,Land & buildings ,Operational asset,FH,0.27,1836,,519693,180087
2,Croydon,FS02,ADDINGTON,197-199 Lodge Lane,CR0 0QA,,,Fire Station,Yes,Land & buildings ,Operational asset,FH,0.38,589,,537713,163274
3,Barking and Dagenham,FS03,BARKING (including workshop),"Alfred's Way, Barking, Essex",IG11 0BB,,,Fire Station,Yes,Land & buildings ,Operational asset,FH,0.57,1759,,544987,183294
4,Barnet,FS04,BARNET,144 Station Road,EN5 1TE,,,Fire Station,Yes,Land & buildings ,Operational asset,FH,0.27,1204,,525594,195828
5,Wandsworth,FS05,BATTERSEA,11 Este Road ,SW11 2TL,,,Fire Station,Yes,Land & buildings ,Operational asset,FH,0.17,860,,527254,175842
6,Bromley,FS06,BECKENHAM,8 Beckenham Road,BR3 4LR,,,Fire Station,Yes,Land & buildings ,Operational asset,FH,0.29,1089,,536819,169511
7,Tower Hamlets,FS08,BETHNAL GREEN,11 Roman Road,E2 0HU,,,Fire Station,Yes,Land & buildings ,Operational asset,FH,0.17,997,,535127,182792
8,Bexley,FS09,BEXLEY,"172 Erith Road, Bexleyheath",DA7 6BY,,,Fire Station,Yes,Land & buildings ,Operational asset,FH,0.2,799,,549713,175769
9,Bromley,FS10,BIGGIN HILL,2 Kingsmead,TN16 3UB,,,Fire Station,Yes,Land & buildings ,Operational asset,FH,0.15,435,,541872,159129
10,Waltham Forest,FS100,WALTHAMSTOW,343 Forest Road,E17 5JR,,,Fire Station,Yes,Land & buildings ,Operational asset,FH,0.17,726,,536652,189726
11,Wandsworth,FS101,WANDSWORTH,"45 West Hill, Wandsworth",SW18 1RL,,,Fire Station,Yes,Land & buildings ,Operational asset,FH,0.15,1248,,525058,174584
12,Brent,FS102,WEMBLEY,591a Harrow Road,HA0 2EG,,,Fire Station,Yes,Land & buildings ,Operational asset,FH,0.46,2383,,517690,184992
13,Havering,FS103,WENNINGTON,Wennington Road,RM13 9EE,,,Fire Station,Yes,Land & buildings ,Operational asset,FH,0.27,522,,554191,180900
