OBJECTID,Borough,Unique_Asset_ID,Holding_Name,Address,Post_Code,Sub_Unit,UPRN,Description,Occupied_by_LLDC,Land_Buildings,Asset_Category,Tenure,Site_Area_Hectares,Building_Area_GIA_sqm,Building_Area_NIA_sqm,Easting,Northing,Field18,Field19,Field20,Field21,Field22,Field23,Field24,Field25,Field26,Occupied_by,Built_out
1,Newham,1,Stratford Waterfront (PDZ1),"Queen Elizabeth Olympic Park, Stratford",E20,,N/A,Part of major regeneration site with outline planning permission for mixed use development,No,Land only,Saleable asset,FH,2.52,,,538164,184117,,,,,,,,,,Yes,Land only
2,Newham,2,Stratford Waterfront (PDZ2),"Queen Elizabeth Olympic Park, Stratford",E20,,N/A,Part of major regeneration site with outline planning permission for mixed use development,No,Land only,Subject to disposal process,FH,1.99,,,537969,183954,,,,,,,,,,No,Land & buildings 
3,Tower Hamlets,3,Sweetwater (PDZ4),"Queen Elizabeth Olympic Park, Stratford",E20,,N/A,Part of major regeneration site with outline planning permission for mixed use development,No,Land only,Subject to disposal process,FH,2.99,,,537473,184353,,,,,,,,,,,
4,Hackney,4,East Wick (PDZ5),"Queen Elizabeth Olympic Park, Stratford",E20,,N/A,Part of major regeneration site with outline planning permission for mixed use development,No,Land only,Subject to disposal process,FH and LH,5.34,,,537301,184857,,,,,,,,,,,
5,Newham,5,Pudding Mill Lane (PDZ8),"Queen Elizabeth Olympic Park, Stratford",E20,,N/A,Part of major regeneration site with outline planning permission for mixed use development,No,Land only,Saleable asset,FH,5.28,,,537915,183444,,,,,,,,,,,
6,Newham,6,Rick Roberts Way (PDZ12),"Queen Elizabeth Olympic Park, Stratford",E20,,N/A,Part of major regeneration site with outline planning permission for mixed use development,No,Land only,Saleable asset,FH and LH,1.61,,,538432,183574,,,,,,,,,,,
7,Newham,7,Chobham Manor (PDZ6),"Queen Elizabeth Olympic Park, Stratford",E20,,N/A, Development agreement in place. Site under construction . Phase 1 complete and occupied.,No,Land only,Subject to disposal process,LLH,6.33,,,537853,185237,,,,,,,,,,,
8,Newham,8,Three Mills,"Three Mills, Three Mills Lane, London ",E3 3DU,,N/A,"Film studio, stage and rehearsal studios",No,Land & buildings ,Operational asset,LLH,3.84,,,538392,182766,,,,,,,,,,,
9,Tower Hamlets,9,5 Hancock Road,Bromley By Bow,E3 3DA,,N/A,Yard and buildings - currently vacant,No,Land & buildings ,Saleable asset,FH,0.34,3525,2954,538106,182838,,,,,,,,,,,
10,Newham,10,Land beneath Twelvetrees Crossing,Parcel of land at the foot of Twelvetrees Crescent Bridge,E3 3TE,,N/A,339m2 of grassland and footways at Bow Locks but excluding any structure relating to the river wall (without limitation) and the existing bridge and its support,No,Land only,Limited marketability,FH,0.03,,,538310,182410,,,,,,,,,,,
