OBJECTID,Borough,Unique_Asset_ID,Holding_Name,Address,Post_Code,Sub_Unit,UPRN,Description,Occupied_by_MPS,Land_Buildings,Asset_Category,Tenure,Site_Area_Hectares,Building_Area_GIA_sqm,Building_Area_NIA_sqm,Easting,Northing,Field18,Field19,Field20,Field21,Field22,Field23,Field24,Field25,Field26,Occupied_by,Built_out
1,Barking and Dagenham,6752,BARKING LEARNING CENTRE,BARKING LEARNING CENTRE. 2 TOWN SQUARE. BARKING,IG11 7NB,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,,,544344,183934,,,,,,,,,,Yes,Land only
2,Barking and Dagenham,416,DAGENHAM POLICE STATION,DAGENHAM POLICE STATION 561 RAINHAM ROAD SOUTH . DAGENHAM,RM10 7TU,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.18,1722,0,550261,185135,,,,,,,,,,No,Land & buildings 
3,Barking and Dagenham,6501,FARR AVENUE 2A,2A FARR AVENUE . BARKING,IG11 0NZ,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,82,0,546088,183177,,,,,,,,,,,
4,Barking and Dagenham,927,FRESH WHARF MUIRHEAD QUAY BUILDING 4,BUILDING 4 UNIT 24 MUIRHEAD QUAY FRESH WHARF ESTATE HIGHBRIDGE ROAD BARKING,IG11 7BG,,,PATROLBASE,Yes,Land & buildings ,Operational asset,LH,,0,0,543857,183639,,,,,,,,,,,
5,Barking and Dagenham,6652,HEDGEMANS ROAD 442 GROUND FIRST FLOOR,GROUND AND FIRST FLOOR 442 HEDGEMANS ROAD . DAGENHAM,RM9 6BU,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,248,0,547774,184393,,,,,,,,,,,
6,Barking and Dagenham,374,HERTFORD HOUSE,HERTFORD HOUSE HERTFORD ROAD . BARKING,IG11 8BL,,,OFFICE,Yes,Land & buildings ,Operational asset,FH,4.17,5274,5274,543475,184502,,,,,,,,,,,
7,Barking and Dagenham,408,MARKS GATE POLICE OFFICE,MARKS GATE POLICE OFFICE 78 ROSE LANE . ROMFORD,RM6 5JU,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.07,191,184,548161,189365,,,,,,,,,,,
8,Barnet,570,BARNET POLICE STATION,BARNET POLICE STATION 26 HIGH STREET . BARNET,EN5 5RU,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.18,2606,0,524761,196390,,,,,,,,,,,
9,Barnet,607,BRENT CROSS POLICE OFFICE,BRENT CROSS POLICE OFFICE BRENT CROSS SHOPPING CENTRE . HENDON,NW1 XXX,,,POLICE OFFICE,Yes,Land & buildings ,Operational asset,LH,,24,0,523230,187870,,,,,,,,,,,
10,Barnet,6518,BROADWALK SHOPPING CENTRE PORTAKABIN,BROADWALK SHOPPING CENTRE PORTAKABIN ON SERVICE LEVEL STATION ROAD EDGWARE,HA8 7BD,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,79,0,519470,191857,,,,,,,,,,,
11,Barnet,6568,CAT HILL 13 GROUND FLOOR,GROUND FLOOR 13 CAT HILL . EAST BARNET,EN4 8HG,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,69,0,527255,195415,,,,,,,,,,,
12,Barnet,197,COLINDALE POLICE STATION,COLINDALE POLICE STATION GRAHAME PARK WAY . HENDON,NW9 5TW,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.81,6219,0,521934,190123,,,,,,,,,,,
13,Barnet,6517,EDGWARE COMMUNITY HOSPITAL PART OF BLOCK 45,EDGWARE COMMUNITY HOSPITAL PART OF BLOCK 45 BURNT OAK BROADWAY EDGWARE,HA8 0AD,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,46,0,519826,191049,,,,,,,,,,,
14,Barnet,6723,FRIERN BARNET ROAD 29 GROUND FLOOR,GROUND FLOOR 29 FRIERN BARNET ROAD . .,N11 1NE,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,,0,528677,192459,,,,,,,,,,,
15,Barnet,6704,GOLDERS GREEN ROAD 61 & 61A GROUND FLOOR,61 & 61A GOLDERS GREEN ROAD . . .,NW11 8EL,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,132,0,524952,187528,,,,,,,,,,,
16,Barnet,199,GRAHAME PARK POLICE OFFICE,GRAHAME PARK POLICE OFFICE 9 THE CONCOURSE GRAHAME PARK ESTATE COLINDALE,NW9 5XB,,,POLICE OFFICE,Yes,Land & buildings ,Operational asset,LH,,52,0,521687,190727,,,,,,,,,,,
17,Barnet,6562,HIGH ROAD 113 BASEMENT AND GROUND FLOOR,BASEMENT AND GROUND FLOOR 113 HIGH ROAD . EAST FINCHLEY,N2 8AG,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,114,0,527220,189582,,,,,,,,,,,
18,Barnet,142,PEEL CENTRE HENDON,PEEL CENTRE AERODROME ROAD . HENDON,NW9 5JE,,,CAMPUS,Yes,Land & buildings ,Subject to disposal process,FH,29.3,83017,0,522153,189959,,,,,,,,,,,
19,Barnet,6634,VIVIAN AVENUE 20,20 VIVIAN AVENUE . . BARNET,NW4 3XP,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,102,0,522766,188579,,,,,,,,,,,
20,Bexley,6698,BELLEGROVE ROAD 135-137 GROUND FLOOR,GROUND FLOOR 135-137 BELLEGROVE ROAD . WELLING,DA16 3QS,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,116,0,545998,175926,,,,,,,,,,,
21,Bexley,535,BEXLEYHEATH POLICE STATION,BEXLEYHEATH POLICE STATION 2 ARNSBERG WAY . BEXLEYHEATH,DA7 4QS,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.41,4226,0,549409,175309,,,,,,,,,,,
22,Bexley,987,CRABTREE MANORWAY NORTH,CRABTREE MANORWAY NORTH. BELVEDERE,DA17 6BQ,,,SITE,Yes,Land only,Subject to disposal process,FH,3.23,,,550124,180252,,,,,,,,,,,
23,Bexley,6725,LIMESTONE WALK 1 GROUND FLOOR,1 LIMESTONE WALK KALE ROAD . ERITH,DA18 4BJ,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,143,0,548039,179587,,,,,,,,,,,
24,Bexley,177,MARLOWE HOUSE,MARLOWE HOUSE 109 STATION ROAD . SIDCUP,DA15 7ES,,,OFFICE,Yes,Land & buildings ,Operational asset,FH,1.53,32975,16261,546198,172618,,,,,,,,,,,
25,Bexley,6708,PIER ROAD 28-40 GROUND FLOOR,GROUND FLOOR 28-40 PIER ROAD . ERITH,DA8 1TA,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,316,0,551416,177936,,,,,,,,,,,
26,Brent,740,ALPERTON NORTH WEST TRAFFIC UNIT,ALPERTON NORTH WEST TRAFFIC UNIT ATHLON ROAD . WEMBLEY,HA0 1EW,,,WORKSHOP,Yes,Land & buildings ,Operational asset,FH,0.72,4038,0,517814,183349,,,,,,,,,,,
27,Brent,743,CHALKHILL POLICE OFFICE,CHALKHILL POLICE OFFICE 1 KEN WAY CHALKHILL ESTATE WEMBLEY,HA9 9DS,,,POLICE OFFICE,Yes,Land & buildings ,Operational asset,LH,,75,0,520322,186601,,,,,,,,,,,
28,Brent,712,HARLESDEN POLICE STATION,HARLESDEN POLICE STATION 76 CRAVEN PARK . HARLESDEN,NW10 8RJ,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.14,1466,0,521151,184003,,,,,,,,,,,
29,Brent,132,KILBURN POLICE STATION,KILBURN POLICE STATION 38 SALISBURY ROAD . KILBURN,NW6 6LT,,,POLICE STATION,YES,Land & buildings ,Operational asset,FH,0.31,3699,0,524591,183293,,,,,,,,,,,
30,Brent,6734,KING EDWARD COURT UNIT 1 GROUND FLOOR,UNIT 1 KING EDWARD COURT 10 ELM ROAD WEMBLEY,HA9 7RH,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,125,0,518437,185301,,,,,,,,,,,
31,Brent,6679,KINGSBURY TRADING ESTATE UNIT 19,UNIT 19 KINGSBURY TRADING ESTATE CHURCH LANE KINGSBURY,NW9 8AU,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,214,0,520637,188338,,,,,,,,,,,
32,Brent,6693,MOUNT PLEASANT 217,217 MOUNT PLEASANT . . WEMBLEY,HA0 1SJ,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,136,0,518935,184027,,,,,,,,,,,
33,Brent,6703,STATION ROAD 25,25 STATION ROAD . . HARLESDEN,NW10 4UP,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,230,0,521653,183141,,,,,,,,,,,
34,Brent,6699,STRATA HOUSE UNIT1,UNIT 1 STRATA HOUSE 34A WATERLOO ROAD STAPLES CORNER,NW2 7UH,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,69,0,522290,186878,,,,,,,,,,,
35,Brent,6719,VALE FARM SPORTS CENTRE TENNIS PAVILION,TENNIS PAVILION VALE FARM SPORTS CENTRE WATFORD ROAD WEMBLEY,HA0 3HG,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,107,0,516811,185711,,,,,,,,,,,
36,Brent,6647,WALM LANE 78 GROUND FLOOR,GROUND FLOOR 78 WALM LANE . WILLESDEN GREEN,NW2 4RA,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,169,0,523398,184776,,,,,,,,,,,
37,Brent,739,WEMBLEY FEEDING CENTRE CAREY WAY,"WEMBLEY FEEDING CENTRE UNITS 5,6 & 7, TOWERS BUSINESS PARK CAREY WAY WEMBLEY",HA9 0LQ,,,LIGHTINDUSTRIAL,Yes,Land & buildings ,Operational asset,FH,0.25,1444,0,519984,185641,,,,,,,,,,,
38,Brent,737,WEMBLEY POLICE STATION,WEMBLEY POLICE STATION 603 HARROW ROAD . WEMBLEY,HA0 2HH,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.85,7648,0,517581,185001,,,,,,,,,,,
39,Brent,6696,WEMBLEY RETAIL PARK OFFICE 5,OFFICE 5 WEMBLEY RETAIL PARK 9 RUTHERFORD WAY WEMBLEY,HA9 0QD,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,141,0,519436,186019,,,,,,,,,,,
40,Bromley,5505,BIGGIN HILL AIRPORT,BIGGIN HILL AIRPORT TERMINAL BUILDING NO 454 . WESTERHAM,TN16 3BN,,,OFFICE,Yes,Land & buildings ,Operational asset,LH,,17,0,541443,161157,,,,,,,,,,,
41,Bromley,505,BROMLEY POLICE STATION,HIGH STREET . . BROMLEY,BR1 1ER,,,POLICE STATION,Yes,Land & buildings ,Operational asset,OTH - PFI,0.64,7126,0,540425,168651,,,,,,,,,,,
42,Bromley,6656,COPPERFIELD HOUSE,COPPERFIELD HOUSE CHARLES DICKENS TERRACE 190 MAPLE ROAD PENGE,SE20 8RE,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,150,0,535401,170284,,,,,,,,,,,
43,Bromley,525,CRAY POLICE OFFICE AND FLATS 43A,ST.MARY CRAY SECTOR OFFICE 43-45 HIGH STREET . ST MARY CRAY,BR5 3NJ,,,POLICE OFFICE,Yes,Land & buildings ,Subject to disposal process,FH,0.03,205,0,547237,168251,,,,,,,,,,,
44,Bromley,6683,CROYDON ROAD 80,80 CROYDON ROAD . . BECKENHAM,BR3 4DF,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,150,0,535977,168406,,,,,,,,,,,
45,Bromley,140,HAYES SPORTS CLUB (THE WARREN),MET POLICE HAYES SPORTS CLUB LTD CROYDON ROAD HAYES BROMLEY,BR2 7AL,,,SPORTS FACILITY,Yes,Land & buildings ,Operational asset,FH,8.88,6512,0,539910,165421,,,,,,,,,,,
46,Bromley,6676,HIGH STREET 49 GREEN STREET GREEN,49 HIGH STREET GREEN STREET GREEN ORPINGTON,BR6 6BG,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,137,0,545637,163671,,,,,,,,,,,
47,Bromley,118,KESTON DOG TRAINING CENTRE,KESTON (DOG TRAINING CENTRE) LAYHAMS ROAD KESTON WEST WICKHAM,BR2 6AR,,,TRAINING FACILI,Yes,Land & buildings ,Operational asset,FH,7.53,2980,0,539937,163143,,,,,,,,,,,
48,Bromley,6609,LAIT HOUSE UNIT GO3C,"UNIT GO3C, LAIT HOUSE 1 ALBEMARLE ROAD . BECKENHAM",BR3 5LN,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,85,0,537541,169793,,,,,,,,,,,
49,Bromley,6521,MAIN ROAD 192 & 194 GRND FLOOR BIGGIN HILL,GROUND FLOOR 192 & 194 MAIN ROAD . BIGGIN HILL,TN16 3BB,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,82,0,542187,158552,,,,,,,,,,,
50,Bromley,185,NEWLANDS PARK 40-42,40-42 NEWLANDS PARK . . SYDENHAM,SE26 5NF,,,LIGHTINDUSTRIAL,Yes,Land & buildings ,Operational asset,FH,0.61,7361,0,535555,170989,,,,,,,,,,,
51,Bromley,6551,THE GLADES SHOPPING CENTRE ROOM,THE GLADES SHOPPING CENTRE HIGH STREET . BROMLEY,BR1 9DN,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,22,0,540782,168875,,,,,,,,,,,
52,Bromley,7140,THE WARREN PAVILION SPORTS CLUB,PAVILION SPORTS CLUB ST DUNSTANS LANE WICKHAM WAY BECKENHAM,BR3 3SS,,,SPORTS FACILITY,Yes,Land & buildings ,Operational asset,LH,3.47,425,0,482746,196989,,,,,,,,,,,
53,Bromley,6595,WALPOLE ROAD 58-62,58-62 WALPOLE ROAD . . BROMLEY,BR2 9SF,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,104,0,541816,167933,,,,,,,,,,,
54,Bromley,842,WEST WICKHAM POLICE OFFICE,WEST WICKHAM POLICE OFFICE 9 HIGH STREET . WEST WICKHAM,BR4 0LP,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,104,0,538238,165942,,,,,,,,,,,
55,Bromley,6622,WIDMORE ROAD 212,212 WIDMORE ROAD BICKLEY . BROMLEY,BR1 2RH,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,85,0,541578,169385,,,,,,,,,,,
56,Bromley,6310,BROMLEY BEACON ACADEMY,"AVALON ROAD, BROMLEY",BR6 9BD,,,TRAINING FACILI,Yes,Land & buildings ,Operational asset,LIC,,0,0,547748,165554,,,,,,,,,,,
57,Camden,242,ALBANY STREET POLICE STATION,ALBANY STREET POLICE STATION 60 ALBANY STREET . CAMDEN,NW1 4EE,,,POLICE STATION,Yes,Land & buildings ,Operational asset,LLH,0.22,2332,0,528867,182486,,,,,,,,,,,
58,Camden,6519,GREENLAND ROAD 12,12 GREENLAND ROAD . . CAMDEN,NW1 0AY,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,110,0,529038,183903,,,,,,,,,,,
59,Camden,6533,HIGHGATE ROAD 105 GROUND FLOOR,105 HIGHGATE ROAD . . CAMDEN,NW5 1TR,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,72,0,528668,185661,,,,,,,,,,,
